USAF,NCDC,Date,HrMn,I,Type,QCP,Dir,Q,I,Spd,Q,Temp,Q,Dewpt,Q,Slp,Q,RHx,
419920,99999,20121017,0600,4,FM-12,    ,030,1,N,  1.0,1,  31.8,1,  24.0,1,1011.7,1, 64,
419920,99999,20121017,1200,4,FM-12,    ,999,9,C,  0.0,1,  29.2,1,  25.0,1,1009.1,1, 78,
419920,99999,20121017,1800,4,FM-12,    ,999,9,C,  0.0,1,  26.6,1,  26.0,1,1011.0,1, 97,
419920,99999,20121018,0000,4,FM-12,    ,999,9,C,  0.0,1,  25.8,1, 999.9,9,1011.0,1,999,
419920,99999,20121018,0600,4,FM-12,    ,999,9,C,  0.0,1,  32.5,1,  24.0,1,1011.6,1, 61,
419920,99999,20121018,1800,4,FM-12,    ,999,9,C,  0.0,1,  26.5,1,  25.0,1,1011.2,1, 92,
419920,99999,20121019,0000,4,FM-12,    ,999,9,C,  0.0,1,  25.4,1,  24.0,1,1010.6,1, 92,
419920,99999,20121019,0600,4,FM-12,    ,240,1,N,  2.6,1,  32.5,1,  26.0,1,1011.8,1, 69,
419920,99999,20121019,1200,4,FM-12,    ,999,9,C,  0.0,1,  29.0,1,  25.0,1,1009.1,1, 79,
419920,99999,20121019,1800,4,FM-12,    ,999,9,C,  0.0,1,  26.5,1,  26.0,1,1012.2,1, 97,
419920,99999,20121020,0000,4,FM-12,    ,999,9,C,  0.0,1,  25.3,1,  25.0,1,1010.3,1, 98,
419920,99999,20121020,0300,4,FM-12,    ,999,9,C,  0.0,1,  30.2,1,  24.0,1,9999.9,9, 70,
419920,99999,20121020,0600,4,FM-12,    ,350,1,N,  2.1,1,  33.0,1,  24.0,1,1012.5,1, 59,
419920,99999,20121020,1200,4,FM-12,    ,999,9,C,  0.0,1,  29.2,1,  24.0,1,1010.3,1, 74,
419920,99999,20121020,1800,4,FM-12,    ,999,9,C,  0.0,1,  26.5,1,  26.0,1,1011.9,1, 97,
419920,99999,20121021,0000,4,FM-12,    ,999,9,C,  0.0,1,  25.8,1,  25.0,1,1011.9,1, 95,
419920,99999,20121021,0300,4,FM-12,    ,360,1,N,  2.1,1,  30.4,1,  25.0,1,1014.0,1, 73,
419920,99999,20121021,0600,4,FM-12,    ,030,1,N,  1.0,1, 999.9, , 999.9,9,1012.3,1,999,
419920,99999,20121021,1200,4,FM-12,    ,350,1,N,  1.0,1,  29.6,1,  25.0,1,1010.4,1, 76,
